# Constructed from biom file
#OTU ID	16S-Amostra1	16S-Amostra2	taxonomy
865a2c4c82194834a9e9b4bb7c0959dc	14.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
e9f635f7539fba80bec8dca3e3a8444b	14.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Christensenellales; f__Borkfalkiaceae; g__UBA7597; s__UBA7597 sp900542935
ce7cc0aa3d6a0b34126c07470200a950	14.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp900316325
f19e22102b5abe52360736ad71c055e2	14.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__CAG-382
b70dd5a43ebd2f2de10f8a693ca6e545	0.0	14.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Microlunatus_A; s__Microlunatus_A sp007362775
9cda306bfa89b41598d23c5f3b44784b	13.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__CAG-115; s__CAG-115 sp003507295
52ba52e30f9d5544bdace0dc6dd18956	13.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerobutyricum
fef4a37f1f4d24a6c91f5caf8fbaa33d	13.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes communis
ed8b4ed1581ca52b0788f8039536313d	12.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes shahii
8f6e2a91e20994c00566a5ff2b49506e	12.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A; s__Blautia_A wexlerae
b6a1cfc87c3ffa7f96227d4a372d8dd7	12.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus_C; s__Ruminococcus_C sp000433635
25b2befb4731be9e4e7b1fb48a26a114	0.0	12.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae; g__Trebonia; s__Trebonia kvetii
a00b4fdac316fe32b233507d015a5712	11.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__UMGS1375; s__UMGS1375 sp900066615
63d8e9a325af7493fef548aa059f93a9	11.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_F; s__Eubacterium_F sp003491505
